StoreNum,ItemID,Sales,Units,Month
57,2,679064.37,12885,12
57,1,1268409.6,23766,12
57,5,94744.94,4205,12
57,35,1446.67,87,12
57,7,1475152.07,24952,12
57,4,1319620.85,28040,12
57,8,140694.84,3763,12
57,50,0.22,2,12
57,36,78531.05,721,12
57,3,202877.82,5312,12
57,36,64053.33,566,12
57,8,166213.9,4469,12
57,1,1694048.6,27463,12
57,7,1499581.95,27969,12
57,3,209552.63,5145,12
57,2,744474.92,12690,12
57,50,22.71,564,12
57,35,1438.69,91,12
57,5,125868.5,4905,12
57,4,1821838.87,31049,12
57,8,156830.82,3802,12
57,50,38.25,951,12
57,7,1510468.44,26794,12
57,1,1194060.38,17978,12
57,5,140330.13,6026,12
57,4,1763096.51,30466,12
57,2,723470.42,13329,12
57,35,995.47,41,12
57,3,215066.39,5899,12
57,36,54291.42,506,12
57,8,117447.6,2795,12
57,35,918.46,40,12
57,50,0.11,1,12
57,36,53794.54,516,12
57,2,735961.49,14755,12
57,7,1564458.78,23960,12
57,3,197127.74,5025,12
57,4,1193040.04,20207,12
57,5,145451.69,6525,12
57,1,1428531.17,21051,12
57,2,597661.77,11549,1
57,3,190657.83,6918,1
57,1,1421689.89,26931,1
57,7,1049820.02,16111,1
57,5,133286.57,6397,1
57,50,0.04,1,1
57,4,1302991.39,23392,1
57,8,128889.25,2890,1
57,36,66323.41,567,1
57,35,712.78,28,1
57,35,555.2,15,1
57,5,176989.38,8943,1
57,1,1346829.41,19677,1
57,2,679756.71,14105,1
57,7,943338.94,14739,1
57,50,0,1,1
57,4,2058275.18,36875,1
57,36,78103.74,753,1
57,3,300124.09,9485,1
57,8,137681.39,3325,1
57,36,64416.1,649,1
57,8,136433.35,3041,1
57,1,1603309.09,23977,1
57,2,696666.07,15325,1
57,5,160291.32,8359,1
57,4,1164303.06,21193,1
57,7,1152468.16,19831,1
57,35,349.45,12,1
57,3,276085.3,8454,1
57,7,1239835.06,22565,1
57,50,0.03,-1,1
57,1,1869986.68,33488,1
57,8,152987.37,3601,1
57,35,876.55,32,1
57,36,41900.86,487,1
57,2,1050814.04,29236,1
57,3,323798.93,11202,1
57,4,1167834.29,25880,1
57,5,145603.2,7038,1
57,35,643.2,23,2
57,1,1622174.85,22904,2
57,5,236901.54,11359,2
57,4,1327425.7,24569,2
57,3,283317.65,9453,2
57,8,233058.86,5227,2
57,36,50460.24,485,2
57,50,0,1,2
57,7,1219461.76,18246,2
57,2,754628.53,13974,2
57,35,741.2,20,2
57,5,207130.54,9805,2
57,7,1180603.77,20783,2
57,2,1025052.16,17784,2
57,1,2088001.99,30677,2
57,8,297376.48,7152,2
57,3,377462.67,14059,2
57,50,0.11,1,2
57,36,60001.57,539,2
57,4,1681110.9,30660,2
57,5,153525.39,6491,2
57,35,470.4,21,2
57,3,698509.12,23238,2
57,4,1481414.55,24990,2
57,1,1783859.32,23680,2
57,36,46699.43,351,2
57,8,244070.47,5704,2
57,7,2061741.06,31204,2
57,2,781212.05,13986,2
57,4,1695389.33,23091,2
57,5,121806.97,4487,2
57,2,632771.61,10273,2
57,1,1948112.38,24979,2
57,36,53008.76,383,2
57,50,0,3,2
57,7,1450811.64,23118,2
57,3,449595.29,14910,2
57,8,212883.93,4752,2
57,35,197.45,11,2
57,4,1894104.13,28380,3
57,2,885720.6,15653,3
57,36,57586.76,400,3
57,50,0.11,10,3
57,3,260429.1,10590,3
57,8,372358.6,9303,3
57,35,732.3,20,3
57,7,1416533.35,23871,3
57,5,190779.47,8492,3
57,1,1827604.1,26075,3
57,2,1052936.79,18034,3
57,4,1958472.75,31506,3
57,1,1923171.71,27998,3
57,5,207959.27,9006,3
57,35,718.85,27,3
57,36,54250.35,395,3
57,8,253195,6108,3
57,50,180,9,3
57,7,1581270.32,23164,3
57,3,304053.34,10973,3
57,2,1622646.31,28150,3
57,36,65337.01,465,3
57,1,2182562.57,35620,3
57,8,270204.41,7579,3
57,3,249261.7,9756,3
57,7,2125286.8,31660,3
57,5,238297.2,10081,3
57,35,263.45,10,3
57,4,3043169.38,51062,3
57,50,1020,72,3
57,1,2183723.52,36104,3
57,8,291594.65,8320,3
57,36,52586.99,428,3
57,4,2680616.38,46222,3
57,5,227981.22,9542,3
57,3,278426.05,9456,3
57,35,378.25,12,3
57,2,1429835.81,25199,3
57,7,2389570.93,36187,3
57,3,393368.65,12292,4
57,5,332459.33,15470,4
57,35,441.1,20,4
57,8,446986.38,12695,4
57,4,3506431.11,64251,4
57,7,2730684.14,44529,4
57,50,880.55,403,4
57,36,67770.17,642,4
57,2,1914235.04,37011,4
57,1,3188259.59,60518,4
57,7,1611064.01,23575,4
57,5,136213.09,5263,4
57,4,1697108.55,23382,4
57,8,393228.8,7362,4
57,36,51693.93,479,4
57,50,400,33,4
57,35,175.25,7,4
57,2,745709.77,11375,4
57,3,240081.92,7251,4
57,1,1866854.29,25974,4
57,2,1837662.35,17842,4
57,7,2736128.45,33530,4
57,4,1960160.33,23133,4
57,36,36398.22,309,4
57,50,640.15,34,4
57,3,282099.05,8039,4
57,8,167810.23,3528,4
57,35,165,8,4
57,5,136807.2,5342,4
57,1,1980549.73,36457,4
57,4,2104190.71,26400,4
57,7,2055704.68,32171,4
57,35,377.5,16,4
57,8,167733.62,3382,4
57,3,280864.99,7470,4
57,36,43532.03,365,4
57,50,600,30,4
57,1,2066741.04,31957,4
57,2,906921.69,13523,4
57,5,140878.94,6057,4
57,4,1756193.9,27647,4
57,5,215047.13,9337,4
57,7,1579080.94,25087,4
57,50,540,27,4
57,1,1736272.61,25052,4
57,8,202813.49,4268,4
57,2,1032832.17,16780,4
57,3,192019.17,6120,4
57,35,282.5,10,4
57,36,60859.92,432,4
57,3,258707.51,11570,5
57,36,67024.09,426,5
57,8,233188.16,5174,5
57,50,835.6,570,5
57,2,959354.17,16329,5
57,7,1187311.68,17518,5
57,35,376.45,9,5
57,1,2216710.18,36685,5
57,4,1635655.09,25642,5
57,5,187347.85,7146,5
57,2,1369812.63,27087,5
57,8,287513.07,7065,5
57,1,1985396.85,34682,5
57,50,900,74,5
57,3,332113.27,12869,5
